country_code,installed_capacity_MW,pumping_MW,,,country_code,Installed_capacity,pumping capacity
BE,9.082802548,Not Recorded,,,,,
ES,240.2,Not Recorded,,,,,
AT,9,Not Recorded,,,,,
SE,10,Not Recorded,,,,,
CH,9,Not Recorded,,,,,
ES,934,Not Recorded,,,,,
CH,9,Not Recorded,,,,,
IT,9,Not Recorded,,,,,
IT,9,Not Recorded,,,,,
IT,9,Not Recorded,,,,,
IT,9,Not Recorded,,,,,
IT,9,Not Recorded,,,,,
AT,9,Not Recorded,,,,,
AT,9,Not Recorded,,,,,
LV,240.1,Not Recorded,,,,,
ES,9,Not Recorded,,,,,
CH,8.94,Not Recorded,,,,,
CH,8.8,Not Recorded,,,,,
PT,201,Not Recorded,,,,,
AT,240,Not Recorded,,,,,
CH,8.791,Not Recorded,,,,,
CH,8.7,Not Recorded,,,,,
CH,8.7,Not Recorded,,,,,
CH,8.7,Not Recorded,,,,,
SE,9,Not Recorded,,,,,
AT,8.6,Not Recorded,,,,,
CH,8.6,Not Recorded,,,,,
CH,8.56,Not Recorded,,,,,
IT,314.3,240,,,,,
CH,8.3,Not Recorded,,,,,
CH,8.2,Not Recorded,,,,,
FR,8.112883819,Not Recorded,,,,,
PL,8.095541401,Not Recorded,,,,,
BA,8,Not Recorded,,,,,
FR,240,Not Recorded,,,,,
SE,8.693305006,Not Recorded,,,,,
AT,8,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
PT,196,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
IT,8,Not Recorded,,,,,
CH,8,Not Recorded,,,,,
AT,8,Not Recorded,,,,,
EL,162,Not Recorded,,,,,
UK,8,Not Recorded,,,,,
BG,8,Not Recorded,,,,,
BG,240,291,,,,,
SE,8,Not Recorded,,,,,
PL,7.898089172,Not Recorded,,,,,
BG,7.8,Not Recorded,,,,,
DE,7.42,Not Recorded,,,,,
FR,232.2,Not Recorded,,,,,
HR,7.404458599,Not Recorded,,,,,
PL,13.252,Not Recorded,,,,,
